,ae,ah,aw,eh,ei,er,ih,iy,oa,oo,uh,uw
ae,43.891478133326856,53.76967909849504,57.23455852579146,46.19926391210348,56.590669780018175,58.57966351784614,50.47566997896399,61.899693629942995,65.17450795795007,59.41351480822681,55.70046661246016,67.91834059975626
ah,53.76967909849504,42.09379191899775,46.04295926616604,52.54447960686268,63.97440103509639,58.14034741349641,60.20756260447207,67.32619526476134,59.36718301963841,55.59097067286167,45.891397708092235,63.69927860619052
aw,57.23455852579147,46.04295926616604,42.518193000772804,57.0701460143637,64.91457538875463,58.79241062199304,62.65173044919669,67.44830884102504,54.429140890309796,53.48765938798047,47.17661310924014,59.955493290017245
eh,46.19926391210349,52.54447960686269,57.0701460143637,40.660971621252656,56.41802930224242,56.39442463038673,46.664311273931894,61.51091914201151,63.803282285307674,54.94066556881734,50.6617415872493,65.69558386202495
ei,56.590669780018175,63.97440103509639,64.91457538875463,56.41802930224241,42.1826546784825,60.510738167709924,54.681083342941825,50.877276027139736,59.98652776030829,63.555716234134806,63.539193874689865,63.35153574224157
er,58.57966351784613,58.14034741349642,58.79241062199304,56.39442463038673,60.510738167709924,43.76698442420378,58.51167664458873,63.96039664208843,58.16536689453482,54.15190427662483,56.28726818797762,57.72216238051725
ih,50.475669978964,60.20756260447209,62.6517304491967,46.6643112739319,54.68108334294182,58.51167664458874,40.668424618482014,55.162843374305375,64.96435702851115,54.831765839300914,55.816813959186696,63.85000256095257
iy,61.899693629942995,67.32619526476135,67.44830884102504,61.51091914201152,50.87727602713974,63.96039664208843,55.162843374305375,42.3025243407419,63.146021085666106,64.01959608344296,66.30848669007572,59.97437189535855
oa,65.17450795795007,59.367183019638404,54.42914089030979,63.80328228530767,59.98652776030829,58.16536689453482,64.96435702851115,63.146021085666106,43.05424847492122,56.04958647186464,57.41605833684898,50.52574853261331
oo,59.41351480822681,55.59097067286168,53.48765938798047,54.94066556881733,63.555716234134806,54.15190427662483,54.83176583930092,64.01959608344298,56.04958647186464,43.910928241760224,47.940329454863665,54.26495436891441
uh,55.70046661246016,45.891397708092235,47.17661310924014,50.661741587249296,63.53919387468987,56.28726818797762,55.81681395918669,66.30848669007572,57.41605833684898,47.94032945486367,40.39757150808946,60.18223531781665
uw,67.91834059975625,63.69927860619052,59.955493290017245,65.69558386202495,63.35153574224157,57.722162380517254,63.85000256095257,59.97437189535855,50.52574853261331,54.26495436891442,60.18223531781665,45.169129931982525
