,ae,ah,aw,eh,ei,er,ih,iy,oa,oo,uh,uw
ae,29.644298961003198,39.80671275780932,42.50135020634263,30.827576487135286,41.78519276091078,44.273369060092,37.384055211558206,51.85716880370286,48.65036243235304,44.163606593894805,39.278574720942025,55.14705132921032
ah,39.806712757809315,31.743513968432282,35.2550645311198,40.016574447376215,50.816069046685,45.999506521316185,48.923448565075496,57.99666130942419,46.82896864869133,43.22873627413632,34.54120864118884,53.07753419877748
aw,42.501350206342636,35.25506453111979,30.725604617053225,42.97368645020616,50.450560241041046,46.54527853495556,49.45595518244131,56.243872196324105,40.418970482081534,40.245378231296485,33.51814573426297,48.27998637869917
eh,30.827576487135286,40.016574447376215,42.97368645020615,29.489969283823882,41.5383584122741,42.57466381341464,35.840111165169446,52.087259350229445,47.87706589294314,41.84931497643713,37.609193220873316,53.9620534006776
ei,41.78519276091078,50.816069046685,50.450560241041046,41.5383584122741,31.996012666487243,46.2853641170889,36.95683993583248,40.05603105550293,45.409501980666406,45.61716541149428,47.64630477708614,49.07677856841117
er,44.273369060092,45.999506521316185,46.54527853495554,42.57466381341464,46.2853641170889,30.79676766800371,43.00656152636881,53.16458000344153,46.019277093546656,40.63897706655268,42.582751753325724,47.65748560812827
ih,37.384055211558206,48.923448565075496,49.45595518244131,35.840111165169446,36.95683993583248,43.00656152636881,30.966799197811117,43.937358098608,47.2518079263254,41.77290683734663,44.514037730407146,49.76661038579697
iy,51.85716880370286,57.99666130942419,56.24387219632411,52.087259350229445,40.05603105550293,53.164580003441536,43.937358098608,35.24550043298344,49.91389601355386,50.53707322650768,55.23710041330258,47.71323907364302
oa,48.65036243235304,46.82896864869132,40.418970482081534,47.87706589294314,45.409501980666406,46.01927709354666,47.2518079263254,49.91389601355387,31.991444020150016,39.60370215155413,42.45337731625968,39.27393803875241
oo,44.1636065938948,43.22873627413632,40.245378231296485,41.84931497643712,45.61716541149428,40.63897706655268,41.77290683734663,50.53707322650767,39.60370215155413,32.57023225503022,36.27940352775428,41.48894054846639
uh,39.278574720942025,34.54120864118884,33.518145734262966,37.60919322087331,47.64630477708614,42.582751753325724,44.514037730407146,55.23710041330258,42.45337731625968,36.27940352775428,30.503717738149874,48.61222571925638
uw,55.14705132921032,53.07753419877748,48.279986378699164,53.96205340067761,49.07677856841117,47.65748560812827,49.76661038579698,47.71323907364302,39.27393803875242,41.48894054846639,48.61222571925638,36.14722474044936
